,index,speaker,sent_sv,sent_en,sent_idx,paragraph_text_sv,paragraph_text_en,paragraph_idx
181,182,Nooshi Dadgostar (V),"I år får du med sjuk- och aktivitetsersättning mer pengar att röra dig med, med början redan denna månad.","This year, with sickness and activity compensation, you get more money to move around with, starting already this month.",1,"Fru talman! I år får du med sjuk- och aktivitetsersättning mer pengar att röra dig med, med början redan denna månad. Vänsterpartiet säkrade i budgeten för i år en höjning med uppemot 2 000 kronor i månaden. Reglerna i sjukförsäkringen ska därutöver bli rättvisare, och det ska bli enklare att kvalificera sig. Förändringen görs därför att det är din rättighet att få ut på den försäkring som du har betalat in till.","Madam President! This year, with sickness and activity compensation, you get more money to move around with, starting already this month. In the budget for this year, the Left Party secured an increase of up to SEK 2,000 a month. In addition, the rules in health insurance will be fairer, and it will be easier to qualify. The change is made because it is your right to get out on the insurance that you have paid into.",0
182,183,Nooshi Dadgostar (V),Vänsterpartiet säkrade i budgeten för i år en höjning med uppemot 2 000 kronor i månaden.,"In the budget for this year, the Left Party secured an increase of up to SEK 2,000 a month.",2,"Fru talman! I år får du med sjuk- och aktivitetsersättning mer pengar att röra dig med, med början redan denna månad. Vänsterpartiet säkrade i budgeten för i år en höjning med uppemot 2 000 kronor i månaden. Reglerna i sjukförsäkringen ska därutöver bli rättvisare, och det ska bli enklare att kvalificera sig. Förändringen görs därför att det är din rättighet att få ut på den försäkring som du har betalat in till.","Madam President! This year, with sickness and activity compensation, you get more money to move around with, starting already this month. In the budget for this year, the Left Party secured an increase of up to SEK 2,000 a month. In addition, the rules in health insurance will be fairer, and it will be easier to qualify. The change is made because it is your right to get out on the insurance that you have paid into.",0
183,184,Nooshi Dadgostar (V),"Reglerna i sjukförsäkringen ska därutöver bli rättvisare, och det ska bli enklare att kvalificera sig.","In addition, the rules in health insurance will be fairer, and it will be easier to qualify.",3,"Fru talman! I år får du med sjuk- och aktivitetsersättning mer pengar att röra dig med, med början redan denna månad. Vänsterpartiet säkrade i budgeten för i år en höjning med uppemot 2 000 kronor i månaden. Reglerna i sjukförsäkringen ska därutöver bli rättvisare, och det ska bli enklare att kvalificera sig. Förändringen görs därför att det är din rättighet att få ut på den försäkring som du har betalat in till.","Madam President! This year, with sickness and activity compensation, you get more money to move around with, starting already this month. In the budget for this year, the Left Party secured an increase of up to SEK 2,000 a month. In addition, the rules in health insurance will be fairer, and it will be easier to qualify. The change is made because it is your right to get out on the insurance that you have paid into.",0
184,185,Nooshi Dadgostar (V),Förändringen görs därför att det är din rättighet att få ut på den försäkring som du har betalat in till.,The change is made because it is your right to get out on the insurance that you have paid into.,4,"Fru talman! I år får du med sjuk- och aktivitetsersättning mer pengar att röra dig med, med början redan denna månad. Vänsterpartiet säkrade i budgeten för i år en höjning med uppemot 2 000 kronor i månaden. Reglerna i sjukförsäkringen ska därutöver bli rättvisare, och det ska bli enklare att kvalificera sig. Förändringen görs därför att det är din rättighet att få ut på den försäkring som du har betalat in till.","Madam President! This year, with sickness and activity compensation, you get more money to move around with, starting already this month. In the budget for this year, the Left Party secured an increase of up to SEK 2,000 a month. In addition, the rules in health insurance will be fairer, and it will be easier to qualify. The change is made because it is your right to get out on the insurance that you have paid into.",0
185,186,Nooshi Dadgostar (V),I över ett decennium har moderater och socialdemokrater turats om med att försämra vår sjukförsäkring.,"For over a decade, moderates and social democrats have taken turns to worsen our health insurance.",0,I över ett decennium har moderater och socialdemokrater turats om med att försämra vår sjukförsäkring. Svårt sjuka har utförsäkrats och ersättningsnivåer släpat efter trots de många löften som givits före valen.,"For over a decade, moderates and social democrats have taken turns to worsen our health insurance. The seriously ill have been insured and compensation levels have lagged behind despite the many promises made before the election.",1
186,187,Nooshi Dadgostar (V),Svårt sjuka har utförsäkrats och ersättningsnivåer släpat efter trots de många löften som givits före valen.,The seriously ill have been insured and compensation levels have lagged behind despite the many promises made before the election.,1,I över ett decennium har moderater och socialdemokrater turats om med att försämra vår sjukförsäkring. Svårt sjuka har utförsäkrats och ersättningsnivåer släpat efter trots de många löften som givits före valen.,"For over a decade, moderates and social democrats have taken turns to worsen our health insurance. The seriously ill have been insured and compensation levels have lagged behind despite the many promises made before the election.",1
187,188,Nooshi Dadgostar (V),Nu börjar vi äntligen städa upp efter dessa två partiers svek mot svårt sjuka personer i behov av sin egen försäkring.,Now we are finally starting to clean up after the betrayal of these two parties against seriously ill people in need of their own insurance.,0,"Nu börjar vi äntligen städa upp efter dessa två partiers svek mot svårt sjuka personer i behov av sin egen försäkring. Vänsterpartiets besked till väljarna är att vi kommer att fortsätta förbättra sjukförsäkringen även efter nästa val, för mer återstår att göra.","Now we are finally starting to clean up after the betrayal of these two parties against seriously ill people in need of their own insurance. The Left Party&#39;s message to voters is that we will continue to improve health insurance even after the next election, because more remains to be done.",2
188,189,Nooshi Dadgostar (V),"Vänsterpartiets besked till väljarna är att vi kommer att fortsätta förbättra sjukförsäkringen även efter nästa val, för mer återstår att göra.","The Left Party&#39;s message to voters is that we will continue to improve health insurance even after the next election, because more remains to be done.",1,"Nu börjar vi äntligen städa upp efter dessa två partiers svek mot svårt sjuka personer i behov av sin egen försäkring. Vänsterpartiets besked till väljarna är att vi kommer att fortsätta förbättra sjukförsäkringen även efter nästa val, för mer återstår att göra.","Now we are finally starting to clean up after the betrayal of these two parties against seriously ill people in need of their own insurance. The Left Party&#39;s message to voters is that we will continue to improve health insurance even after the next election, because more remains to be done.",2
189,190,Nooshi Dadgostar (V),Nu ska vi höja pensionerna.,Now we are going to raise pensions.,0,Nu ska vi höja pensionerna. Sverige har flest fattiga pensionärer i Norden. Den hemliga pensionsgrupp som styrt vårt pensionssystem i snart 30 år har misslyckats med uppdraget att upprätthålla pensionsnivåerna.,Now we are going to raise pensions. Sweden has the most poor pensioners in the Nordic region. The secret pension group that has governed our pension system for almost 30 years has failed in its task of maintaining pension levels.,3
190,191,Nooshi Dadgostar (V),Sverige har flest fattiga pensionärer i Norden.,Sweden has the most poor pensioners in the Nordic region.,1,Nu ska vi höja pensionerna. Sverige har flest fattiga pensionärer i Norden. Den hemliga pensionsgrupp som styrt vårt pensionssystem i snart 30 år har misslyckats med uppdraget att upprätthålla pensionsnivåerna.,Now we are going to raise pensions. Sweden has the most poor pensioners in the Nordic region. The secret pension group that has governed our pension system for almost 30 years has failed in its task of maintaining pension levels.,3
191,192,Nooshi Dadgostar (V),Den hemliga pensionsgrupp som styrt vårt pensionssystem i snart 30 år har misslyckats med uppdraget att upprätthålla pensionsnivåerna.,The secret pension group that has governed our pension system for almost 30 years has failed in its task of maintaining pension levels.,2,Nu ska vi höja pensionerna. Sverige har flest fattiga pensionärer i Norden. Den hemliga pensionsgrupp som styrt vårt pensionssystem i snart 30 år har misslyckats med uppdraget att upprätthålla pensionsnivåerna.,Now we are going to raise pensions. Sweden has the most poor pensioners in the Nordic region. The secret pension group that has governed our pension system for almost 30 years has failed in its task of maintaining pension levels.,3
192,193,Nooshi Dadgostar (V),Det som utlovades när gruppen grundades var att de statliga pensionerna skulle landa på 60-65 procent av den tidigare lönen.,What was promised when the group was founded was that the state pensions would land at 60-65 percent of the previous salary.,0,Det som utlovades när gruppen grundades var att de statliga pensionerna skulle landa på 60-65 procent av den tidigare lönen. Så ser det inte ut i dag. Då hade många haft betydligt högre pension. Många får i dag en chock när de går i pension.,What was promised when the group was founded was that the state pensions would land at 60-65 percent of the previous salary. That&#39;s not how it looks today. Then many would have had a significantly higher pension. Many people today get a shock when they retire.,4
193,194,Nooshi Dadgostar (V),Så ser det inte ut i dag.,That&#39;s not how it looks today.,1,Det som utlovades när gruppen grundades var att de statliga pensionerna skulle landa på 60-65 procent av den tidigare lönen. Så ser det inte ut i dag. Då hade många haft betydligt högre pension. Många får i dag en chock när de går i pension.,What was promised when the group was founded was that the state pensions would land at 60-65 percent of the previous salary. That&#39;s not how it looks today. Then many would have had a significantly higher pension. Many people today get a shock when they retire.,4
194,195,Nooshi Dadgostar (V),Då hade många haft betydligt högre pension.,Then many would have had a significantly higher pension.,2,Det som utlovades när gruppen grundades var att de statliga pensionerna skulle landa på 60-65 procent av den tidigare lönen. Så ser det inte ut i dag. Då hade många haft betydligt högre pension. Många får i dag en chock när de går i pension.,What was promised when the group was founded was that the state pensions would land at 60-65 percent of the previous salary. That&#39;s not how it looks today. Then many would have had a significantly higher pension. Many people today get a shock when they retire.,4
195,196,Nooshi Dadgostar (V),Många får i dag en chock när de går i pension.,Many people today get a shock when they retire.,3,Det som utlovades när gruppen grundades var att de statliga pensionerna skulle landa på 60-65 procent av den tidigare lönen. Så ser det inte ut i dag. Då hade många haft betydligt högre pension. Många får i dag en chock när de går i pension.,What was promised when the group was founded was that the state pensions would land at 60-65 percent of the previous salary. That&#39;s not how it looks today. Then many would have had a significantly higher pension. Many people today get a shock when they retire.,4
196,197,Nooshi Dadgostar (V),Personer som har kämpat och slitit ett helt liv landar efter ett långt arbetsliv på bara några tusenlappar.,People who have struggled and toiled all their lives land after a long working life of only a few thousand dollars.,0,"Personer som har kämpat och slitit ett helt liv landar efter ett långt arbetsliv på bara några tusenlappar. De får därtill höra av proffstyckare och högerdebattörer att de minsann inte har jobbat eller gjort rätt för sig, eftersom de får garantipension. Inget kunde vara mer fel. Sju av tio av de kvinnliga kommunalare som har arbetat och slitit under den här pandemin kommer att få garantipension. Att säga att de inte skulle ha jobbat är att vara mer än lovligt verklighetsfrånvänd.","People who have struggled and toiled all their lives land after a long working life of only a few thousand dollars. They are also told by professionals and right-wing debaters that they have at least not worked or done the right thing, because they receive a guarantee pension. Nothing could be more wrong. Seven out of ten of the female municipal workers who have worked and toiled during this pandemic will receive a guarantee pension. To say that they would not have worked is to be more than legally detached from reality.",5
197,198,Nooshi Dadgostar (V),"De får därtill höra av proffstyckare och högerdebattörer att de minsann inte har jobbat eller gjort rätt för sig, eftersom de får garantipension.","They are also told by professionals and right-wing debaters that they have at least not worked or done the right thing, because they receive a guarantee pension.",1,"Personer som har kämpat och slitit ett helt liv landar efter ett långt arbetsliv på bara några tusenlappar. De får därtill höra av proffstyckare och högerdebattörer att de minsann inte har jobbat eller gjort rätt för sig, eftersom de får garantipension. Inget kunde vara mer fel. Sju av tio av de kvinnliga kommunalare som har arbetat och slitit under den här pandemin kommer att få garantipension. Att säga att de inte skulle ha jobbat är att vara mer än lovligt verklighetsfrånvänd.","People who have struggled and toiled all their lives land after a long working life of only a few thousand dollars. They are also told by professionals and right-wing debaters that they have at least not worked or done the right thing, because they receive a guarantee pension. Nothing could be more wrong. Seven out of ten of the female municipal workers who have worked and toiled during this pandemic will receive a guarantee pension. To say that they would not have worked is to be more than legally detached from reality.",5
198,199,Nooshi Dadgostar (V),Inget kunde vara mer fel.,Nothing could be more wrong.,2,"Personer som har kämpat och slitit ett helt liv landar efter ett långt arbetsliv på bara några tusenlappar. De får därtill höra av proffstyckare och högerdebattörer att de minsann inte har jobbat eller gjort rätt för sig, eftersom de får garantipension. Inget kunde vara mer fel. Sju av tio av de kvinnliga kommunalare som har arbetat och slitit under den här pandemin kommer att få garantipension. Att säga att de inte skulle ha jobbat är att vara mer än lovligt verklighetsfrånvänd.","People who have struggled and toiled all their lives land after a long working life of only a few thousand dollars. They are also told by professionals and right-wing debaters that they have at least not worked or done the right thing, because they receive a guarantee pension. Nothing could be more wrong. Seven out of ten of the female municipal workers who have worked and toiled during this pandemic will receive a guarantee pension. To say that they would not have worked is to be more than legally detached from reality.",5
199,200,Nooshi Dadgostar (V),Sju av tio av de kvinnliga kommunalare som har arbetat och slitit under den här pandemin kommer att få garantipension.,Seven out of ten of the female municipal workers who have worked and toiled during this pandemic will receive a guarantee pension.,3,"Personer som har kämpat och slitit ett helt liv landar efter ett långt arbetsliv på bara några tusenlappar. De får därtill höra av proffstyckare och högerdebattörer att de minsann inte har jobbat eller gjort rätt för sig, eftersom de får garantipension. Inget kunde vara mer fel. Sju av tio av de kvinnliga kommunalare som har arbetat och slitit under den här pandemin kommer att få garantipension. Att säga att de inte skulle ha jobbat är att vara mer än lovligt verklighetsfrånvänd.","People who have struggled and toiled all their lives land after a long working life of only a few thousand dollars. They are also told by professionals and right-wing debaters that they have at least not worked or done the right thing, because they receive a guarantee pension. Nothing could be more wrong. Seven out of ten of the female municipal workers who have worked and toiled during this pandemic will receive a guarantee pension. To say that they would not have worked is to be more than legally detached from reality.",5
200,201,Nooshi Dadgostar (V),Att säga att de inte skulle ha jobbat är att vara mer än lovligt verklighetsfrånvänd.,To say that they would not have worked is to be more than legally detached from reality.,4,"Personer som har kämpat och slitit ett helt liv landar efter ett långt arbetsliv på bara några tusenlappar. De får därtill höra av proffstyckare och högerdebattörer att de minsann inte har jobbat eller gjort rätt för sig, eftersom de får garantipension. Inget kunde vara mer fel. Sju av tio av de kvinnliga kommunalare som har arbetat och slitit under den här pandemin kommer att få garantipension. Att säga att de inte skulle ha jobbat är att vara mer än lovligt verklighetsfrånvänd.","People who have struggled and toiled all their lives land after a long working life of only a few thousand dollars. They are also told by professionals and right-wing debaters that they have at least not worked or done the right thing, because they receive a guarantee pension. Nothing could be more wrong. Seven out of ten of the female municipal workers who have worked and toiled during this pandemic will receive a guarantee pension. To say that they would not have worked is to be more than legally detached from reality.",5
201,202,Nooshi Dadgostar (V),För att stoppa urholkningen av våra pensioner är det nödvändigt att agera nu.,"To stop the erosion of our pensions, it is necessary to act now.",0,För att stoppa urholkningen av våra pensioner är det nödvändigt att agera nu. Vänsterpartiets villkor för att släppa fram Magdalena Andersson var att hon skulle lägga fram en reform som ordentligt förstärkte pensionerna. Den låga svenska grundpensionen har under lång tid hållit nere alla pensioner. Det är därför ett viktigt steg att regeringen nu ska lägga fram pensionsförslag på riksdagens bord. Det är den största höjningen sedan nuvarande garantipensionssystem instiftades.,"To stop the erosion of our pensions, it is necessary to act now. The Left Party&#39;s condition for releasing Magdalena Andersson was that she should present a reform that properly strengthened pensions. The low Swedish basic pension has for a long time kept all pensions down. It is therefore an important step that the government will now present pension proposals on the Riksdag&#39;s table. This is the largest increase since the current guarantee pension system was introduced.",6
202,203,Nooshi Dadgostar (V),Vänsterpartiets villkor för att släppa fram Magdalena Andersson var att hon skulle lägga fram en reform som ordentligt förstärkte pensionerna.,The Left Party&#39;s condition for releasing Magdalena Andersson was that she should present a reform that properly strengthened pensions.,1,För att stoppa urholkningen av våra pensioner är det nödvändigt att agera nu. Vänsterpartiets villkor för att släppa fram Magdalena Andersson var att hon skulle lägga fram en reform som ordentligt förstärkte pensionerna. Den låga svenska grundpensionen har under lång tid hållit nere alla pensioner. Det är därför ett viktigt steg att regeringen nu ska lägga fram pensionsförslag på riksdagens bord. Det är den största höjningen sedan nuvarande garantipensionssystem instiftades.,"To stop the erosion of our pensions, it is necessary to act now. The Left Party&#39;s condition for releasing Magdalena Andersson was that she should present a reform that properly strengthened pensions. The low Swedish basic pension has for a long time kept all pensions down. It is therefore an important step that the government will now present pension proposals on the Riksdag&#39;s table. This is the largest increase since the current guarantee pension system was introduced.",6
203,204,Nooshi Dadgostar (V),Den låga svenska grundpensionen har under lång tid hållit nere alla pensioner.,The low Swedish basic pension has for a long time kept all pensions down.,2,För att stoppa urholkningen av våra pensioner är det nödvändigt att agera nu. Vänsterpartiets villkor för att släppa fram Magdalena Andersson var att hon skulle lägga fram en reform som ordentligt förstärkte pensionerna. Den låga svenska grundpensionen har under lång tid hållit nere alla pensioner. Det är därför ett viktigt steg att regeringen nu ska lägga fram pensionsförslag på riksdagens bord. Det är den största höjningen sedan nuvarande garantipensionssystem instiftades.,"To stop the erosion of our pensions, it is necessary to act now. The Left Party&#39;s condition for releasing Magdalena Andersson was that she should present a reform that properly strengthened pensions. The low Swedish basic pension has for a long time kept all pensions down. It is therefore an important step that the government will now present pension proposals on the Riksdag&#39;s table. This is the largest increase since the current guarantee pension system was introduced.",6
204,205,Nooshi Dadgostar (V),Det är därför ett viktigt steg att regeringen nu ska lägga fram pensionsförslag på riksdagens bord.,It is therefore an important step that the government will now present pension proposals on the Riksdag&#39;s table.,3,För att stoppa urholkningen av våra pensioner är det nödvändigt att agera nu. Vänsterpartiets villkor för att släppa fram Magdalena Andersson var att hon skulle lägga fram en reform som ordentligt förstärkte pensionerna. Den låga svenska grundpensionen har under lång tid hållit nere alla pensioner. Det är därför ett viktigt steg att regeringen nu ska lägga fram pensionsförslag på riksdagens bord. Det är den största höjningen sedan nuvarande garantipensionssystem instiftades.,"To stop the erosion of our pensions, it is necessary to act now. The Left Party&#39;s condition for releasing Magdalena Andersson was that she should present a reform that properly strengthened pensions. The low Swedish basic pension has for a long time kept all pensions down. It is therefore an important step that the government will now present pension proposals on the Riksdag&#39;s table. This is the largest increase since the current guarantee pension system was introduced.",6
205,206,Nooshi Dadgostar (V),Det är den största höjningen sedan nuvarande garantipensionssystem instiftades.,This is the largest increase since the current guarantee pension system was introduced.,4,För att stoppa urholkningen av våra pensioner är det nödvändigt att agera nu. Vänsterpartiets villkor för att släppa fram Magdalena Andersson var att hon skulle lägga fram en reform som ordentligt förstärkte pensionerna. Den låga svenska grundpensionen har under lång tid hållit nere alla pensioner. Det är därför ett viktigt steg att regeringen nu ska lägga fram pensionsförslag på riksdagens bord. Det är den största höjningen sedan nuvarande garantipensionssystem instiftades.,"To stop the erosion of our pensions, it is necessary to act now. The Left Party&#39;s condition for releasing Magdalena Andersson was that she should present a reform that properly strengthened pensions. The low Swedish basic pension has for a long time kept all pensions down. It is therefore an important step that the government will now present pension proposals on the Riksdag&#39;s table. This is the largest increase since the current guarantee pension system was introduced.",6
206,207,Nooshi Dadgostar (V),Men dessa inkomstförstärkningar äts nu delvis upp av de skenande elpriserna.,But these income gains are now being eaten up in part by soaring electricity prices.,0,Men dessa inkomstförstärkningar äts nu delvis upp av de skenande elpriserna. Elräkningen för december kommer att bli en chock för många familjer och företag när den dimper ned i dagarna. Ändå lever vi i ett land som producerar mycket och billig fossilfri energi. Det är en kraftproduktion som har byggts upp under generationer och är ett resultat av uppoffringar och framsynta investeringar som svenska folket har gjort i syfte att tillgodose vårt behov av billig el.,"But these income gains are now being eaten up in part by soaring electricity prices. The electricity bill for December will be a shock to many families and companies as it dims down in the days. Still, we live in a country that produces a lot of cheap fossil-free energy. It is a power production that has been built up over generations and is a result of sacrifices and far-sighted investments that the Swedish people have made in order to meet our need for cheap electricity.",7
207,208,Nooshi Dadgostar (V),Elräkningen för december kommer att bli en chock för många familjer och företag när den dimper ned i dagarna.,The electricity bill for December will be a shock to many families and companies as it dims down in the days.,1,Men dessa inkomstförstärkningar äts nu delvis upp av de skenande elpriserna. Elräkningen för december kommer att bli en chock för många familjer och företag när den dimper ned i dagarna. Ändå lever vi i ett land som producerar mycket och billig fossilfri energi. Det är en kraftproduktion som har byggts upp under generationer och är ett resultat av uppoffringar och framsynta investeringar som svenska folket har gjort i syfte att tillgodose vårt behov av billig el.,"But these income gains are now being eaten up in part by soaring electricity prices. The electricity bill for December will be a shock to many families and companies as it dims down in the days. Still, we live in a country that produces a lot of cheap fossil-free energy. It is a power production that has been built up over generations and is a result of sacrifices and far-sighted investments that the Swedish people have made in order to meet our need for cheap electricity.",7
208,209,Nooshi Dadgostar (V),Ändå lever vi i ett land som producerar mycket och billig fossilfri energi.,"Still, we live in a country that produces a lot of cheap fossil-free energy.",2,Men dessa inkomstförstärkningar äts nu delvis upp av de skenande elpriserna. Elräkningen för december kommer att bli en chock för många familjer och företag när den dimper ned i dagarna. Ändå lever vi i ett land som producerar mycket och billig fossilfri energi. Det är en kraftproduktion som har byggts upp under generationer och är ett resultat av uppoffringar och framsynta investeringar som svenska folket har gjort i syfte att tillgodose vårt behov av billig el.,"But these income gains are now being eaten up in part by soaring electricity prices. The electricity bill for December will be a shock to many families and companies as it dims down in the days. Still, we live in a country that produces a lot of cheap fossil-free energy. It is a power production that has been built up over generations and is a result of sacrifices and far-sighted investments that the Swedish people have made in order to meet our need for cheap electricity.",7
209,210,Nooshi Dadgostar (V),Det är en kraftproduktion som har byggts upp under generationer och är ett resultat av uppoffringar och framsynta investeringar som svenska folket har gjort i syfte att tillgodose vårt behov av billig el.,It is a power production that has been built up over generations and is a result of sacrifices and far-sighted investments that the Swedish people have made in order to meet our need for cheap electricity.,3,Men dessa inkomstförstärkningar äts nu delvis upp av de skenande elpriserna. Elräkningen för december kommer att bli en chock för många familjer och företag när den dimper ned i dagarna. Ändå lever vi i ett land som producerar mycket och billig fossilfri energi. Det är en kraftproduktion som har byggts upp under generationer och är ett resultat av uppoffringar och framsynta investeringar som svenska folket har gjort i syfte att tillgodose vårt behov av billig el.,"But these income gains are now being eaten up in part by soaring electricity prices. The electricity bill for December will be a shock to many families and companies as it dims down in the days. Still, we live in a country that produces a lot of cheap fossil-free energy. It is a power production that has been built up over generations and is a result of sacrifices and far-sighted investments that the Swedish people have made in order to meet our need for cheap electricity.",7
210,211,Nooshi Dadgostar (V),"Men liksom inom många områden - skolan, äldreomsorgen och sjukvården - är nu också elen utsatt för en ansvarslös privatiserings- och marknadspolitik.","But as in many areas - schools, care for the elderly and healthcare - electricity is now also exposed to an irresponsible privatization and market policy.",0,"Men liksom inom många områden - skolan, äldreomsorgen och sjukvården - är nu också elen utsatt för en ansvarslös privatiserings- och marknadspolitik. Det har lett till att den billiga elen under den här vintern har sålts till hushållen till ett pris som är uppemot 20 gånger högre än vad det kostar att producera den.","But as in many areas - schools, care for the elderly and healthcare - electricity is now also exposed to an irresponsible privatization and market policy. This has led to the cheap electricity being sold to households this winter at a price that is up to 20 times higher than what it costs to produce it.",8
211,212,Nooshi Dadgostar (V),Det har lett till att den billiga elen under den här vintern har sålts till hushållen till ett pris som är uppemot 20 gånger högre än vad det kostar att producera den.,This has led to the cheap electricity being sold to households this winter at a price that is up to 20 times higher than what it costs to produce it.,1,"Men liksom inom många områden - skolan, äldreomsorgen och sjukvården - är nu också elen utsatt för en ansvarslös privatiserings- och marknadspolitik. Det har lett till att den billiga elen under den här vintern har sålts till hushållen till ett pris som är uppemot 20 gånger högre än vad det kostar att producera den.","But as in many areas - schools, care for the elderly and healthcare - electricity is now also exposed to an irresponsible privatization and market policy. This has led to the cheap electricity being sold to households this winter at a price that is up to 20 times higher than what it costs to produce it.",8
212,213,Nooshi Dadgostar (V),Det är inte bara Sverige som leker marknad med elen.,It is not just Sweden that is playing market with electricity.,0,"Det är inte bara Sverige som leker marknad med elen. EU har varit pådrivande. Sverige och den svenska regeringen kopplar nu ihop den svenska billiga marknaden med EU-ländernas marknader. Många av dem har misskött den nödvändiga energiomställningen och har därför ett mycket högre elpris. Detta leder det till att de svenska elpriserna skenar. De som drabbas är de svenska elkunderna, den svenska industrin och sysselsättningen. Elbolagen är såklart glada. De gör nu stora och oskäliga övervinster när elen i stället kan exporteras till marknader i övriga EU.","It is not just Sweden that is playing market with electricity. The EU has been a driving force. Sweden and the Swedish government are now linking the Swedish cheap market with the EU countries&#39; markets. Many of them have mismanaged the necessary energy conversion and therefore have a much higher electricity price. This leads to Swedish electricity prices rising. Those affected are Swedish electricity customers, Swedish industry and employment. The electricity companies are of course happy. They are now making large and unreasonable profits when the electricity can instead be exported to markets in the rest of the EU.",9
213,214,Nooshi Dadgostar (V),EU har varit pådrivande.,The EU has been a driving force.,1,"Det är inte bara Sverige som leker marknad med elen. EU har varit pådrivande. Sverige och den svenska regeringen kopplar nu ihop den svenska billiga marknaden med EU-ländernas marknader. Många av dem har misskött den nödvändiga energiomställningen och har därför ett mycket högre elpris. Detta leder det till att de svenska elpriserna skenar. De som drabbas är de svenska elkunderna, den svenska industrin och sysselsättningen. Elbolagen är såklart glada. De gör nu stora och oskäliga övervinster när elen i stället kan exporteras till marknader i övriga EU.","It is not just Sweden that is playing market with electricity. The EU has been a driving force. Sweden and the Swedish government are now linking the Swedish cheap market with the EU countries&#39; markets. Many of them have mismanaged the necessary energy conversion and therefore have a much higher electricity price. This leads to Swedish electricity prices rising. Those affected are Swedish electricity customers, Swedish industry and employment. The electricity companies are of course happy. They are now making large and unreasonable profits when the electricity can instead be exported to markets in the rest of the EU.",9
214,215,Nooshi Dadgostar (V),Sverige och den svenska regeringen kopplar nu ihop den svenska billiga marknaden med EU-ländernas marknader.,Sweden and the Swedish government are now linking the Swedish cheap market with the EU countries&#39; markets.,2,"Det är inte bara Sverige som leker marknad med elen. EU har varit pådrivande. Sverige och den svenska regeringen kopplar nu ihop den svenska billiga marknaden med EU-ländernas marknader. Många av dem har misskött den nödvändiga energiomställningen och har därför ett mycket högre elpris. Detta leder det till att de svenska elpriserna skenar. De som drabbas är de svenska elkunderna, den svenska industrin och sysselsättningen. Elbolagen är såklart glada. De gör nu stora och oskäliga övervinster när elen i stället kan exporteras till marknader i övriga EU.","It is not just Sweden that is playing market with electricity. The EU has been a driving force. Sweden and the Swedish government are now linking the Swedish cheap market with the EU countries&#39; markets. Many of them have mismanaged the necessary energy conversion and therefore have a much higher electricity price. This leads to Swedish electricity prices rising. Those affected are Swedish electricity customers, Swedish industry and employment. The electricity companies are of course happy. They are now making large and unreasonable profits when the electricity can instead be exported to markets in the rest of the EU.",9
215,216,Nooshi Dadgostar (V),Många av dem har misskött den nödvändiga energiomställningen och har därför ett mycket högre elpris.,Many of them have mismanaged the necessary energy conversion and therefore have a much higher electricity price.,3,"Det är inte bara Sverige som leker marknad med elen. EU har varit pådrivande. Sverige och den svenska regeringen kopplar nu ihop den svenska billiga marknaden med EU-ländernas marknader. Många av dem har misskött den nödvändiga energiomställningen och har därför ett mycket högre elpris. Detta leder det till att de svenska elpriserna skenar. De som drabbas är de svenska elkunderna, den svenska industrin och sysselsättningen. Elbolagen är såklart glada. De gör nu stora och oskäliga övervinster när elen i stället kan exporteras till marknader i övriga EU.","It is not just Sweden that is playing market with electricity. The EU has been a driving force. Sweden and the Swedish government are now linking the Swedish cheap market with the EU countries&#39; markets. Many of them have mismanaged the necessary energy conversion and therefore have a much higher electricity price. This leads to Swedish electricity prices rising. Those affected are Swedish electricity customers, Swedish industry and employment. The electricity companies are of course happy. They are now making large and unreasonable profits when the electricity can instead be exported to markets in the rest of the EU.",9
216,217,Nooshi Dadgostar (V),Detta leder det till att de svenska elpriserna skenar.,This leads to Swedish electricity prices rising.,4,"Det är inte bara Sverige som leker marknad med elen. EU har varit pådrivande. Sverige och den svenska regeringen kopplar nu ihop den svenska billiga marknaden med EU-ländernas marknader. Många av dem har misskött den nödvändiga energiomställningen och har därför ett mycket högre elpris. Detta leder det till att de svenska elpriserna skenar. De som drabbas är de svenska elkunderna, den svenska industrin och sysselsättningen. Elbolagen är såklart glada. De gör nu stora och oskäliga övervinster när elen i stället kan exporteras till marknader i övriga EU.","It is not just Sweden that is playing market with electricity. The EU has been a driving force. Sweden and the Swedish government are now linking the Swedish cheap market with the EU countries&#39; markets. Many of them have mismanaged the necessary energy conversion and therefore have a much higher electricity price. This leads to Swedish electricity prices rising. Those affected are Swedish electricity customers, Swedish industry and employment. The electricity companies are of course happy. They are now making large and unreasonable profits when the electricity can instead be exported to markets in the rest of the EU.",9
